,Unnamed: 0,date,score,num_comments,upvotes_ratio,compound,negative,neutral,positive,Open,High,Low,Close
0,0,2020-09-12,2832.0,315.0,13.47,1.2110999999999998,0.517,15.092,1.391,620.0399780273438,651.0599975585938,620.530517578125,649.780029296875
1,1,2020-09-13,3429.0,681.0,16.029999999999998,4.0118,0.6350000000000001,16.965999999999998,1.399,620.0399780273438,651.0599975585938,620.530517578125,649.780029296875
2,2,2020-09-14,3034.0,862.0,17.51,5.8862999999999985,0.611,20.223,1.167,523.239990234375,532.5999755859375,505.25,514.8900146484375
3,3,2020-09-15,2400.0,856.0,12.56,5.2287,0.265,14.853,0.882,531.2000122070312,531.9500122070312,513.1099853515625,519.6400146484375
4,4,2020-09-16,1363.0,353.0,7.54,2.2566,0.191,9.412,0.397,518.2899780273438,523.7100219726562,500.54998779296875,500.5799865722656
5,5,2020-09-17,826.0,361.0,8.05,4.9802,0.42100000000000004,10.321,1.258,485.2900085449219,503.5899963378906,481.3900146484375,498.5400085449219
6,6,2020-09-18,6760.0,730.0,12.26,6.4161,0.5660000000000001,12.487,2.947,503.75,505.29998779296875,479.54998779296875,487.57000732421875
7,7,2020-09-19,1729.0,405.0,9.34,3.2885,0.765,10.333000000000002,0.9019999999999998,503.75,505.29998779296875,479.54998779296875,487.57000732421875
8,8,2020-09-20,8551.0,1603.0,11.37,5.7538,0.377,10.67,1.953,503.75,505.29998779296875,479.54998779296875,487.57000732421875
9,9,2020-09-21,2286.0,882.0,7.210000000000001,4.0676,0.35200000000000004,7.627000000000002,1.023,477.0,500.8999938964844,476.17999267578125,500.69000244140625
10,10,2020-09-22,1201.0,335.0,5.15,4.4113,0.203,6.1530000000000005,0.647,503.0,505.9200134277344,486.2200012207031,505.510009765625
11,11,2020-09-23,3350.0,1656.0,14.89,4.7238,1.1960000000000002,15.082,1.722,503.0199890136719,509.0799865722656,483.1700134277344,484.95001220703125
12,12,2020-09-24,2628.0,842.0,8.38,0.7144,0.451,10.012,0.5379999999999999,482.8900146484375,502.7799987792969,480.55999755859375,493.9200134277344
13,13,2020-09-25,5711.0,991.0,16.63,7.9033,0.506,20.059,1.4360000000000002,497.8999938964844,515.3400268554688,489.8299865722656,514.9500122070312
